BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0.000000000001	1.0E+10	100000000000	1E-30	0.000000000419	1.0E+10	1E-30	1.0E+10	0.48	1E-30	5.19776299226596E-12	0.149684828623033	8.97891747830033E-12	3.13453969278603E-11	1.0E+10	6.10695498921629E-11	5.12071405720216E-12	1.22641224538585	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
1	0.000000000001	1.0E+10	100000000000	1E-30	0.000000000419	1.0E+10	1E-30	1.0E+10	0.48	1E-30	5.19776299226596E-12	0.149684828623033	8.97891747830033E-12	3.13453969278603E-11	1.0E+10	6.10695498921629E-11	5.12071405720216E-12	1.22641224538585	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
2	0.0000000000012	1.0E+10	100000000000	1E-30	0.000000000281	1.0E+10	1E-30	1.0E+10	0.48	2.31337055156727E-12	1.21661327515884E-10	1.0E+10	3.83347019818304E-11	9.1455603622148E-12	1.94611867883272	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
3	0.0000000000012	1.0E+10	100000000000	1E-30	0.000000000281	1.0E+10	1E-30	1.0E+10	0.48	2.31337055156727E-12	1.21661327515884E-10	1.0E+10	3.83347019818304E-11	9.1455603622148E-12	1.94611867883272	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
4	0.0000000000015	1.0E+10	100000000000	1E-30	0.000000000212	1.0E+10	1E-30	1.0E+10	0.43	1E-30	2.66647552721004E-11	2.93194297454101	1.3727377504386E-12	2.05026584465898E-10	1.0E+10	1.90716945886309E-11	1.83828620636229E-11	10.1800002288995	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
5	0.0000000000015	1.0E+10	100000000000	1E-30	0.000000000212	1.0E+10	1E-30	1.0E+10	0.43	1E-30	2.66647552721004E-11	2.93194297454101	1.3727377504386E-12	2.05026584465898E-10	1.0E+10	1.90716945886309E-11	1.83828620636229E-11	10.1800002288995	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
6	0.0000000000018	1.0E+10	100000000000	1E-30	0.000000000162	1.0E+10	1E-30	1.0E+10	0.38	1E-30	8.79704136501444E-12	0.221093764205239	8.91378625856002E-13	2.78597923726311E-10	1.0E+10	3.29880484049095E-11	1.06278591154901E-11	1.85758217756469	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
7	0.000000000002	1.0E+10	100000000000	1E-30	0.000000000235	1.0E+10	1E-30	1.0E+10	0.38	1E-30	1.17636855790282E-11	0.886960996661169	1.29557493923729E-12	2.17237709541925E-10	1.0E+10	1.80929222504565E-11	1.93773192682293E-11	8.529969006229	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
8	0.000000000002	1.0E+10	100000000000	1E-30	0.000000000235	1.0E+10	1E-30	1.0E+10	0.38	1E-30	1.17636855790282E-11	0.886960996661169	1.29557493923729E-12	2.17237709541925E-10	1.0E+10	1.80929222504565E-11	1.93773192682293E-11	8.529969006229	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
9	0.0000000000022	1.0E+10	100000000000	1E-30	0.000000000287	1.0E+10	1E-30	1.0E+10	0.37	1E-30	1.46916808320904E-11	1.0769564533229	1.70475097158128E-12	1.65096097337175E-10	1.0E+10	1.8536196534543E-11	1.80543198658847E-11	4.50990771540722	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10	1.0E+10	1E-30	1.0E-10
