BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12
0	0.00000000000004	1E-30	1.0E-10	1.0E+10	0.00000000102	0.019	1.0E+10	1E-30	10000	1.0E+10	0.00000014	300	1.0E+10	0.00000012	400	1.0E+10	0.000000021	16	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	0.00000000000005	1E-30	1.0E-10	1.0E+10	0.00000000114	0.036	1.0E+10	1E-30	7000	1.0E+10	0.00000014	300	1.0E+10	0.00000025	400	1.0E+10	0.000000021	16	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	0.00000000000012	1E-30	1.0E-10	1.0E+10	0.00000000124	0.022	1.0E+10	1E-30	9000	1.0E+10	0.00000014	300	1.0E+10	0.0000003	400	1.0E+10	0.000000021	16	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	0.00000000000006	1E-30	1.0E-10	1.0E+10	0.00000000135	0.03	1.0E+10	1E-30	7000	1.0E+10	0.00000015	400	1.0E+10	0.000000095	400	1.0E+10	0.000000021	12	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	0.00000000000011	1E-30	1.0E-10	1.0E+10	0.00000000158	0.026	1.0E+10	1E-30	9000	1.0E+10	0.00000008	300	1.0E+10	0.00000021	450	1.0E+10	0.000000021	9	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	0.000000000000125	1E-30	1.0E-10	1.0E+10	0.00000000168	0.026	1.0E+10	1E-30	8000	1.0E+10	0.00000008	300	1.0E+10	0.00000025	400	1.0E+10	0.000000021	12	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	0.00000000000024	1E-30	1.0E-10	1.0E+10	0.0000000019	0.029	1.0E+10	1E-30	7000	1.0E+10	0.0000001	300	1.0E+10	0.00000032	450	1.0E+10	0.000000021	12	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	0.000000000000148	1E-30	1.0E-10	1.0E+10	0.0000000022	0.038	1.0E+10	1E-30	10500	1.0E+10	0.00000008	250	1.0E+10	0.00000018	450	1.0E+10	0.000000018	6	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	0.00000000000019	1E-30	1.0E-10	1.0E+10	0.00000000237	0.04	1.0E+10	1E-30	10000	1.0E+10	0.00000008	200	1.0E+10	0.00000021	450	1.0E+10	0.000000024	10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	0.00000000000022	1E-30	1.0E-10	1.0E+10	0.00000000259	0.04	1.0E+10	1E-30	10500	1.0E+10	0.00000008	200	1.0E+10	0.00000016	450	1.0E+10	0.000000024	11	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
10	0.000000000000246	1E-30	1.0E-10	1.0E+10	0.00000000305	0.05	1.0E+10	1E-30	10000	1.0E+10	0.00000008	150	1.0E+10	0.00000014	450	1.0E+10	0.000000023	5	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
