BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12
0	0.000000000000115	1E-30	1.0E-10	1.0E+10	0.00000000167	0.04	1.0E+10	1E-30	15000	1.0E+10	0.000000046	160	1.0E+10	0.000000048	40	1.0E+10	0.000000019	5	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
1	0.00000000000015	1E-30	1.0E-10	1.0E+10	0.0000000018	0.04	1.0E+10	1E-30	15000	1.0E+10	0.000000046	160	1.0E+10	0.000000048	40	1.0E+10	0.000000021	5	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
2	0.0000000000002	1E-30	1.0E-10	1.0E+10	0.00000000197	0.04	1.0E+10	1E-30	15000	1.0E+10	0.000000046	160	1.0E+10	0.000000048	40	1.0E+10	0.000000021	3.5	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
3	0.00000000000027	1E-30	1.0E-10	1.0E+10	0.00000000207	0.04	1.0E+10	1E-30	15000	1.0E+10	0.000000045	160	1.0E+10	0.000000048	40	1.0E+10	0.000000018	3	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
4	0.000000000000135	1E-30	1.0E-10	1.0E+10	0.00000000228	0.04	1.0E+10	1E-30	12000	1.0E+10	0.00000005	160	1.0E+10	0.000000048	40	1.0E+10	0.00000002	4	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
5	0.000000000000178	1E-30	1.0E-10	1.0E+10	0.0000000024	0.04	1.0E+10	1E-30	12000	1.0E+10	0.00000005	160	1.0E+10	0.00000005	40	1.0E+10	0.000000021	4	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
6	0.00000000000021	1E-30	1.0E-10	1.0E+10	0.00000000265	0.035	1.0E+10	1E-30	12000	1.0E+10	0.00000005	160	1.0E+10	0.00000005	40	1.0E+10	0.000000025	4	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
7	0.00000000000026	1E-30	1.0E-10	1.0E+10	0.00000000285	0.045	1.0E+10	1E-30	9000	1.0E+10	0.00000006	200	1.0E+10	0.000000055	40	1.0E+10	0.000000026	5.2	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
8	0.00000000000025	1E-30	1.0E-10	1.0E+10	0.00000000307	0.045	1.0E+10	1E-30	7000	1.0E+10	0.000000065	200	1.0E+10	0.00000006	40	1.0E+10	0.000000033	6	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
9	0.00000000000009	1E-30	1.0E-10	1.0E+10	0.00000000335	0.06	1.0E+10	1E-30	6000	1.0E+10	0.00000008	200	1.0E+10	0.00000006	45	1.0E+10	0.000000033	5.5	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10	1E-30	1.0E+10	1.0E+10
